# strongs	hebrew	transliteration
0460	אֶלְיָסָף	'Elyacaph
0461	אֱלִיעֶזֶר	'Eliy`ezer
0462	אֱלִיעֵנַי	'Eliy`eynay
0463	אֱלִיעָם	'Eliy`am
0464	אֱלִיפַז	'Eliyphaz
0465	אֱלִיפַל	'Eliyphal
0466	אֱלִיפְלֵהוּ	'Eliyph@lehuw
0467	אֶלְפֶלֶט	'Eliyphelet
0468	אֱלִיצוּר	'Eleytsuwr
0469	אֶלִיָצפָן	'Eliytsaphan
0470	אֱלִיקָא	'Eliyqa'
0471	אֶלְיָקִים	'Elyaqiym'
0472	אֱלִישֶׁבַע	'Eliysheba`
0473	אֱלִישָׁה	'Eliyshah
0474	אֱלִישׁוּעַ	'Eliyshuwa`
0475	אֶלְיָשִׁיב	'Elyashiyb
0476	אֱלִישָׁמָע	'Eliyshama`
0477	אֱלִישָׁע	'Eliysha`
0478	אֱלִישָׁפָט	'Eliyshaphat
0479	אִלֵּךְ	'illek
0480	אַלְלַי	'al@lay
0481	אָלַם	'alam
0482	אֵלֶם	'elem
0483	אִלֵּם	'illem
0484	אַלְמֹגִּים	'almuggiym
0485	אֲלֻמָּה	'alummah
0486	אַלְמוֹדָד	'Almowdad
0487	אַלַמֶּלֶךְ	'Allammelek
0488	אַלְמָן	'alman
0489	אַלְמוֹן	'almon
0490	אַלְמָנָה	'almanah
0491	אַלְמְנוּת	'almanuwth
0492	אַלְמוֹנִי	'almoniy
0493	אֶלְנָעַם	'Elna`am
0494	אֶלְנָתָן	'Elnathan
0495	אֶלָּסָר	'Ellacar
0496	אֶלְעָד	'El`ad
0497	אֶלְעָדָה	'El`adah
0498	אֶלְעוּזַי	'El`uwzay
0499	אֶלְעָזָר	'El`azar
0500	אֶלְעָלֵא	'El`ale'
0501	אֶלְעָשָׂה	'El`asah
0502	אַָֹלף	'alaph
0503	אָלַף	'alaph
0504	אֶלֶף	'eleph
0505	אֶלֶף	'eleph
0506	אֲלַף	'alaph
0507	אֶלֶף	'Eleph
0508	אֶלְפַּעַל	'Elpa`al
0509	אלץ	'alats
0510	אַלְקוּם	'alquwm
0511	אֶלְקָנָה	'Elqanah
0512	אֶלְקֹשִׁי	'Elqoshiy
0513	אֶלְתּוֹלַד	'Eltowlad
0514	אֶלְתְּקֵ	'Elt@qe
0515	אֶלְתְּקֹן	'Elt@qon
0516	אַל־תַּשְׁחֵת	'Al tashcheth
0517	אֵם	'em
0518	אִם	'im
0519	אָמָה	'amah
0520	אַמָּה	'ammah
0521	אַמָּה	'ammah
0522	אַמָּה	'Ammah
0523	אֻמָּה	'ummah
0524	אֻמָּה	'ummah
0525	אָמוֹן	'amown
0526	אָמוֹן	'Amown
0527	אָמוֹן	'amown
0528	אָמוֹן	'Amown
0529	אֵמוּן	'emuwn
0530	אֱמוּנָה	'emuwnah
0531	אָמוֹץ	'Amowts
0532	אָמִי	'Amiy
0533	אַמִּיץ	'ammiyts
0534	אָמִיר	'amiyr
0535	אמל	'amal
0536	אֻמְלַל	'umlal
0537	אֲמֵלָל	'amelal
0538	אֲמָם	'Amam
0539	אָמַן	'aman
0540	אַמַן	'aman
0541	אָמַן	'aman
0542	אָמָּן	'aman
0543	אָמֵן	'amen
0544	אֹמֶן	'omen
0545	אָמְנָה	'omnah
0546	אָמְנָה	'omnah
0547	אֹמְנָה	'om@nah
0548	אֲמָנָה	'amanah
0549	אֲמָנָה	'Amanah
0550	אַמְנוֹן	'Amnown
0551	אָמְנָם	'omnam
0552	אֻמְנָם	'umnam
0553	אָמַץ	'amats
0554	אָמֹץ	'amots
0555	אֹמֶץ	'omets
0556	אַמְצָה	'amtsah
0557	אַמְצִי	'Amtsiy
0558	אֲמַצְיָה	'Amatsyah
0559	אָמַר	'amar
0560	אַמַר	'amar
0561	אֵמֶר	'emer
0562	אֹמֶר	'omer
0563	אִמַּר	'immar
0564	אִמֵּר	'Immer
0565	אִמְרָה	'imrah
0566	אִמְרִי	'Imriy
0567	אֱמֹרִי	'Emoriy
0568	אֲמַרְיָה	'Amaryah
0569	אַמְרָפֶל	'Amraphel
